Dataverse_Desktop_Flows[Desktop Flowname],Dataverse_Desktop_Flows[Created On],Dataverse_Desktop_Flows[Completed On],Dataverse_Desktop_Flows[Successful],Dataverse_Desktop_Flows[Failed],Dataverse_Desktop_Flows[FlowType],Dataverse_Desktop_Flows[createdbyyominame],Dataverse_Desktop_Flows[statecodename],Dataverse_Desktop_Flows[Started On],Dataverse_Desktop_Flows[Run session mode],Dataverse_Desktop_Flows[ParentWorkflowId],Dataverse_Desktop_Flows[machinegroupid],Dataverse_Desktop_Flows[machineid],Dataverse_Desktop_Flows[Flow Machine],Dataverse_Desktop_Flows[FinalSuccessful],Dataverse_Desktop_Flows[Flow Machine Group],Dataverse_Desktop_Flows[UOW_Type],Dataverse_Desktop_Flows[BOT_Name],Dataverse_Desktop_Flows[DateTimeStarted_DATE_Only],Dataverse_Desktop_Flows[Year],Dataverse_Desktop_Flows[Month],Dataverse_Desktop_Flows[Sub-Category],[SumWasSuccessful],[SumStatus_Reason],[Sumrunsessionmode],[SumWeekOfYear],[SumYearWeek],[Sumsubcategory]
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:30:49,2025-04-14T09:33:11,0,1,Desktop,powerautomate05 #,Active,2025-04-14T09:30:56,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,12B13FD9-EB6D-EE11-8DF0-000D3A592388,6F4F8F6A-D2B1-4B7B-A7D8-F677B4740D7F,IT-POWERAUTO-05.LapkoSoft.local,0,Spreetail-Automation-Group_5,Desktop,SVC05,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:30:59,2025-04-14T09:31:19,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:31:00,2025-04-14T15:31:15,0,1,Desktop,powerautomate02 serviceaccount,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,DF03C64F-EE6D-EE11-8DF0-000D3A592388,,,0,Spreetail-Automation-Group_6,Desktop,SVC06,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:31:52,2025-04-14T09:32:10,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:32:42,2025-04-14T09:33:01,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:33:33,2025-04-14T09:33:51,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:34:16,2025-04-14T09:36:37,0,1,Desktop,powerautomate05 #,Active,2025-04-14T09:34:24,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,12B13FD9-EB6D-EE11-8DF0-000D3A592388,6F4F8F6A-D2B1-4B7B-A7D8-F677B4740D7F,IT-POWERAUTO-05.LapkoSoft.local,0,Spreetail-Automation-Group_5,Desktop,SVC05,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:34:24,2025-04-14T09:34:41,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:35:14,2025-04-14T09:35:32,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
AmazonBrand_KeywordSearch_SVC05_v1 - wSnowFlake,2025-04-14T09:36:05,2025-04-14T09:36:21,0,1,Desktop,powerautomate04 #,Active,,Unapplicable,c00f3ad9-4e95-4fdc-b4d1-a07636cbe021,D0A7A13D-BABF-EE11-9079-000D3A592388,,,0,Spreetail-Automation-Group_8,Desktop,SVC08,2025-04-14T00:00:00,2025,4,Default,0,8,0,16,202516,0
