Machine Availability Timeline[Created On],Machine Availability Timeline[Created By],Machine Availability Timeline[statuscodename],Machine Availability Timeline[ErrorCode],Machine Availability Timeline[ErrorMessage],Machine Availability Timeline[Regarding],Machine Availability Timeline[Flow Machine Group],Machine Availability Timeline[Run mode],Machine Availability Timeline[Day Name],Machine Availability Timeline[Start],Machine Availability Timeline[End],Machine Availability Timeline[Date],Machine Availability Timeline[Runtime duration (mins)],Machine Availability Timeline[Day of Week],Machine Availability Timeline[Year],Machine Availability Timeline[Hour of Day],Machine Availability Timeline[Start UTC],Machine Availability Timeline[End UTC],Machine Availability Timeline[Context],Machine Availability Timeline[parentWorkflowId],Machine Availability Timeline[Cloud Flow URL],Machine Availability Timeline[Value],Machine Availability Timeline[Time Slot],Machine Availability Timeline[desktop_taskstatus],Machine Availability Timeline[YearWeek],Machine Availability Timeline[Week of Year],[SumRuntime_duration__mins_],[SumDay_of_Week],[SumYear],[SumHour_of_Day],[SumValue],[SumYearWeek],[SumWeek_of_Year],[Tasks_Occupied]
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,19,19,Failed,202516,16,481.1,0,2025,19,19,202516,16,1
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,20,20,Failed,202516,16,481.1,0,2025,19,20,202516,16,1
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,21,21,Failed,202516,16,481.1,0,2025,19,21,202516,16,1
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,22,22,Failed,202516,16,481.1,0,2025,19,22,202516,16,1
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,23,23,Failed,202516,16,481.1,0,2025,19,23,202516,16,1
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,24,24,Failed,202516,16,481.1,0,2025,19,24,202516,16,
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,25,25,Failed,202516,16,481.1,0,2025,19,25,202516,16,
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,26,26,Failed,202516,16,481.1,0,2025,19,26,202516,16,
2025-04-12T08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,2025-04-13T00:00:00,2025-04-13T08:01:06,2025-04-13T00:00:00,481.1,0,2025,19,2025-04-12T19:00:00,2025-04-13T03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,27,27,Failed,202516,16,481.1,0,2025,19,27,202516,16,
2025-04-13T00:22:15,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Sunday,2025-04-13T00:26:13,2025-04-13T00:30:03,2025-04-13T00:00:00,3.8333333333333335,0,2025,19,2025-04-12T19:26:13,2025-04-12T19:30:03,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584571031649996396292552092CU149"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,19,19,Succeeded,202516,16,3.8333333333333335,0,2025,19,19,202516,16,1
