SQL_Cloud_Flows_All[FlowGUID],SQL_Cloud_Flows_All[FlowName],SQL_Cloud_Flows_All[startedon],SQL_Cloud_Flows_All[LastModified],SQL_Cloud_Flows_All[State],SQL_Cloud_Flows_All[FlowOwner],SQL_Cloud_Flows_All[DateTimeStarted],SQL_Cloud_Flows_All[DateTimeCompleted],SQL_Cloud_Flows_All[TaskStatus],SQL_Cloud_Flows_All[TriggerType],SQL_Cloud_Flows_All[TriggerTypeGroup],SQL_Cloud_Flows_All[FinalSuccessful],SQL_Cloud_Flows_All[Successful],SQL_Cloud_Flows_All[Failed],SQL_Cloud_Flows_All[FlowType],SQL_Cloud_Flows_All[UOW_Type],SQL_Cloud_Flows_All[BOT_Name],SQL_Cloud_Flows_All[machineidname],SQL_Cloud_Flows_All[machinegroupidname],SQL_Cloud_Flows_All[Year],SQL_Cloud_Flows_All[Month],SQL_Cloud_Flows_All[DateTimeStarted_DATE_Only],SQL_Cloud_Flows_All[WeekOfYear],SQL_Cloud_Flows_All[Year - Wk],SQL_Cloud_Flows_All[WasSuccessful],SQL_Cloud_Flows_All[Day Name],SQL_Cloud_Flows_All[Flow URL],SQL_Cloud_Flows_All[Job_Date_UniqueKey],SQL_Cloud_Flows_All[YearWeek],[CountFlowGUID],[SumFinalSuccessful],[SumYear],[SumMonth],[SumWeekOfYear],[SumWasSuccessful],[SumYearWeek],[Cloud_Flow_Success_Rate],[Cloud_Flow_Success_Rate_Goal],[Total_Cloud_Flows],[Failed_Cloud_Flows]
145ae837-1cda-4d83-8a9d-c6cc7956ecc9,Acctg_P_SPALL_SVC02_v1,2024-06-17T10:57:12,2024-07-07T15:40:51,Started,Cheddrick Bagunu,2025-04-14T02:57:12.28,2025-04-14T02:58:16.263,Succeeded,Recurrence,Recurrence,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/145ae837-1cda-4d83-8a9d-c6cc7956ecc9,4/14/2025 2:57:12 AM_Acctg_P_SPALL_SVC02_v1,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-13T23:24:40.057,2025-04-13T23:25:11.807,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-13T00:00:00,16,2025-16,1,Sunday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/13/2025 11:24:40 PM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.72,2025-04-14T02:40:23.247,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.72,2025-04-14T02:40:26.097,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.72,2025-04-14T02:40:26.3,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.723,2025-04-14T02:40:24.06,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.723,2025-04-14T02:40:24.07,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.727,2025-04-14T02:40:22.233,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.727,2025-04-14T02:40:25,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.73,2025-04-14T02:40:23.437,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.74,2025-04-14T02:40:24.72,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.74,2025-04-14T02:40:25.19,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
576cf1e8-c959-4461-a68b-ff0dd051701a,AI_Parse_CMAInvoices,2024-06-26T08:59:16,2024-10-15T09:36:33,Started,powerautomate04,2025-04-14T02:39:50.833,2025-04-14T02:40:23.647,Succeeded,When_a_file_is_created_(properties_only),OtherTrigger,1,,,Cloud,Cloud,Cloud,,,2025,4,2025-04-14T00:00:00,16,2025-16,1,Monday,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/576cf1e8-c959-4461-a68b-ff0dd051701a,4/14/2025 2:39:50 AM_AI_Parse_CMAInvoices,202516,1,1,2025,4,16,1,202516,1,0.9,1,
