SQL_SP_UOW_ALL[FlowName],SQL_SP_UOW_ALL[DateTimeStarted],SQL_SP_UOW_ALL[DateTimeCompleted],SQL_SP_UOW_ALL[Successful],SQL_SP_UOW_ALL[Failed],SQL_SP_UOW_ALL[WasSuccessful],SQL_SP_UOW_ALL[FinalSuccessful],SQL_SP_UOW_ALL[FlowType],SQL_SP_UOW_ALL[UOW_Type],SQL_SP_UOW_ALL[createdbyyominame],SQL_SP_UOW_ALL[statecodename],SQL_SP_UOW_ALL[statuscode],SQL_SP_UOW_ALL[startedon],SQL_SP_UOW_ALL[machinegroupid],SQL_SP_UOW_ALL[machineid],SQL_SP_UOW_ALL[machineidname],SQL_SP_UOW_ALL[machinegroupidname],SQL_SP_UOW_ALL[BOT_Name],SQL_SP_UOW_ALL[DateTimeStarted_DATE_Only],SQL_SP_UOW_ALL[Year],SQL_SP_UOW_ALL[Month],SQL_SP_UOW_ALL[WeekOfYear],SQL_SP_UOW_ALL[YearWeek],[SumSuccessful],[SumFailed],[SumWasSuccessful],[SumFinalSuccessful],[SumYear],[SumMonth],[SumWeekOfYear],[SumYearWeek],[Total_Successful_UOW]
Amazon List Price Scraping,2025-04-15T13:58:33,4/16/2025 5:00:54 AM,710,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,710,0,1,1,2025,4,16,202516,710
Amazon List Price Scraping,2025-04-17T09:01:44,4/17/2025 1:42:22 PM,723,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,723,0,1,1,2025,4,16,202516,723
Amazon List Price Scraping,2025-04-17T13:41:48,4/17/2025 3:11:16 PM,615,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,615,0,1,1,2025,4,16,202516,615
Amazon List Price Scraping,2025-04-19T13:13:22,4/19/2025 2:35:52 PM,584,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-19T00:00:00,2025,4,16,202516,584,0,1,1,2025,4,16,202516,584
Amazon_ASIN_Keyword_Search_Downloads_UOW,2025-04-14T13:00:14,4/21/2025 8:20:24 AM,2401,3599,0,0,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,2401,3599,0,0,2025,4,16,202516,2401
Amazon_ASIN_Keyword_Search_Downloads_UOW,2025-04-15T03:10:03,4/21/2025 8:20:17 AM,187,1226,0,0,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,187,1226,0,0,2025,4,16,202516,187
Amazon_ASIN_Keyword_Search_Downloads_UOW,2025-04-15T05:48:29,4/21/2025 8:55:50 AM,0,1500,0,0,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,0,1500,0,0,2025,4,16,202516,0
Amazon_ASIN_Keyword_Search_Downloads_UOW,2025-04-15T15:23:12,4/21/2025 8:33:39 AM,164,1336,0,0,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,164,1336,0,0,2025,4,16,202516,164
AMZ_SAFET_CLAIMS_UOW,2025-04-14T00:00:00,,3,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,3,0,1,1,2025,4,16,202516,3
AMZ_SAFET_CLAIMS_UOW,2025-04-16T00:00:00,,4,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,4,0,1,1,2025,4,16,202516,4
AMZ_SAFET_CLAIMS_UOW,2025-04-17T00:00:00,,306,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,306,0,1,1,2025,4,16,202516,306
AMZ_SAFET_CLAIMS_UOW,2025-04-18T00:00:00,,129,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,129,0,1,1,2025,4,16,202516,129
Bullseye Excel Automation,2025-04-14T04:22:32,4/14/2025 4:25:51 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-14T04:25:51,4/14/2025 4:31:11 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-14T07:40:59,4/14/2025 7:44:21 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-14T07:44:21,4/14/2025 7:49:51 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T01:59:33,4/15/2025 2:02:51 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T08:32:04,4/15/2025 8:35:22 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T08:35:22,4/15/2025 8:40:42 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T08:40:42,4/15/2025 8:46:03 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T08:46:03,4/15/2025 8:51:23 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:20:31,4/15/2025 9:23:48 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:23:48,4/15/2025 9:29:09 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:29:09,4/15/2025 9:34:30 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:34:30,4/15/2025 9:39:50 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:39:50,4/15/2025 9:45:10 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:45:10,4/15/2025 9:50:31 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-15T09:50:31,4/15/2025 9:55:51 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-16T05:49:44,4/16/2025 5:53:02 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-16T05:53:02,4/16/2025 5:58:22 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
