Created On,Created By,statuscodename,ErrorCode,ErrorMessage,Regarding,Flow Machine Group,Run mode,Day Name,Day of Week,Start,End,Date,Start UTC,End UTC,Context,parentWorkflowId,Cloud Flow URL,desktop_taskstatus,SumRuntime_duration__mins_,SumDay_of_Week,SumYear,SumHour_of_Day,SumYearWeek,SumWeek_of_Year,Machine_Utilization__,Idle_Percentage__,TotalRuntimeHours,Desktop_Flow_Total_Runs,Desktop_Runs_Total_Hours,BOT_Utilization_Percentage,Machine_Utilization_Weekly__,Idle_Utilization_Weekly__,Desktop_Failed_Runs,Desktop_Flow_Success_Rate_Goal,Desktop_Successful_Runs,Desktop_Run_Percent_Success,Year,Week,YearWeek
2025-04-12 08:49:13,powerautomate04 #,Failed,SessionHasLoggedOff,The session logged off during run execution.,AMZ_SAFET_CLAIMS,SVC04,Unattended,Sunday,0,2025-04-13 00:00:00,2025-04-13 08:01:06,2025-04-13,2025-04-12 19:00:00,2025-04-13 03:01:06,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""196efcf7-3e7d-4536-8d5c-eefefc5c4a4f"",""parentWorkflowRunId"":""08584571605574483874587385718CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/196efcf7-3e7d-4536-8d5c-eefefc5c4a4f,Failed,481.1,0,2025,19,202516,16,0.3340972222222222,0.6659027777777777,8.018333333333334,1,8.018333333333334,0.0068183106575963,0.0068650114155251,0.9931349885844748,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 00:22:15,powerautomate03 serviceaccount,Succeeded,Unknown,Unknown,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Sunday,0,2025-04-13 00:26:13,2025-04-13 00:30:03,2025-04-13,2025-04-12 19:26:13,2025-04-12 19:30:03,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584571031649996396292552092CU149"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,3.8333333333333335,0,2025,19,202516,16,0.002662037037037,0.997337962962963,0.0638888888888889,1,0.0638888888888889,5.432728647014362e-05,5.469939117199392e-05,0.999945300608828,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 00:40:02,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Sunday,0,2025-04-13 00:40:12,2025-04-13 00:40:53,2025-04-13,2025-04-12 19:40:12,2025-04-12 19:40:53,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584571020857138435884521677CU08"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6833333333333333,0,2025,19,202516,16,0.000474537037037,0.999525462962963,0.0113888888888888,1,0.0113888888888888,9.684429327286473e-06,9.75076103500761e-06,0.999990249238965,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 00:40:02,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Sunday,0,2025-04-13 00:40:12,2025-04-13 00:40:56,2025-04-13,2025-04-12 19:40:12,2025-04-12 19:40:56,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584571020857138435884521677CU08"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7333333333333334,0,2025,19,202516,16,0.0005092592592592,0.9994907407407408,0.0122222222222222,1,0.0122222222222222,1.0393046107331822e-05,1.0464231354642314e-05,0.9999895357686454,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:22:10,powerautomate03 serviceaccount,Succeeded,Unknown,Unknown,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Sunday,0,2025-04-13 01:22:30,2025-04-13 01:26:18,2025-04-13,2025-04-12 20:22:30,2025-04-12 20:26:18,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584570995659067888574381152CU149"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,3.8,0,2025,20,202516,16,0.0026388888888888,0.9973611111111113,0.0633333333333333,1,0.0633333333333333,5.385487528344672e-05,5.422374429223745e-05,0.9999457762557078,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:40:02,Mohammad Asim,Succeeded,Unknown,Unknown,Part 1 - Insert SQL - Amazon_Cust_Delivery_Time_V2,SVC01,Unattended,Sunday,0,2025-04-13 01:40:15,2025-04-13 01:41:20,2025-04-13,2025-04-12 20:40:15,2025-04-12 20:41:20,"{""hostName"":""IT-powerauto-01"",""parentWorkflowId"":""a133bddd-5833-41e9-9eeb-133a37c379a2"",""parentWorkflowRunId"":""08584570984850136389519931553CU175"",""attendedMode"":""Unattended"",""agentVersion"":""2.54.188.25066"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",a133bddd-5833-41e9-9eeb-133a37c379a2,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/a133bddd-5833-41e9-9eeb-133a37c379a2,Succeeded,1.0833333333333333,0,2025,20,202516,16,0.0007523148148148,0.9992476851851853,0.0180555555555555,1,0.0180555555555555,1.535336356764928e-05,1.5458523592085233e-05,0.999984541476408,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:40:05,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Sunday,0,2025-04-13 01:40:14,2025-04-13 01:40:55,2025-04-13,2025-04-12 20:40:14,2025-04-12 20:40:55,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584570984852628089695592843CU12"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6833333333333333,0,2025,20,202516,16,0.000474537037037,0.999525462962963,0.0113888888888888,1,0.0113888888888888,9.684429327286473e-06,9.75076103500761e-06,0.999990249238965,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:42:30,Mohammad Asim,Succeeded,Unknown,Unknown,Scrape Data - Amazon_Cust_Delivery_Time_V1,SVC01,Unattended,Sunday,0,2025-04-13 01:42:37,2025-04-13 02:55:52,2025-04-13,2025-04-12 20:42:37,2025-04-12 21:55:52,"{""hostName"":""IT-powerauto-01"",""parentWorkflowId"":""a133bddd-5833-41e9-9eeb-133a37c379a2"",""parentWorkflowRunId"":""08584570984850136389519931553CU175"",""attendedMode"":""Unattended"",""agentVersion"":""2.54.188.25066"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",a133bddd-5833-41e9-9eeb-133a37c379a2,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/a133bddd-5833-41e9-9eeb-133a37c379a2,Succeeded,73.25,0,2025,20,202516,16,0.0508680555555555,0.9491319444444444,1.2208333333333334,1,1.2208333333333334,0.0010381235827664,0.0010452340182648,0.9989547659817352,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:42:30,Mohammad Asim,Succeeded,Unknown,Unknown,Scrape Data - Amazon_Cust_Delivery_Time_V1,SVC10,Unattended,Sunday,0,2025-04-13 01:42:39,2025-04-13 02:57:34,2025-04-13,2025-04-12 20:42:39,2025-04-12 21:57:34,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""a133bddd-5833-41e9-9eeb-133a37c379a2"",""parentWorkflowRunId"":""08584570984850136389519931553CU175"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",a133bddd-5833-41e9-9eeb-133a37c379a2,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/a133bddd-5833-41e9-9eeb-133a37c379a2,Succeeded,74.91666666666667,0,2025,20,202516,16,0.0520254629629629,0.947974537037037,1.2486111111111111,1,1.2486111111111111,0.0010617441421012,0.0010690163622526,0.9989309836377472,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:42:30,Mohammad Asim,Succeeded,Unknown,Unknown,Scrape Data - Amazon_Cust_Delivery_Time_V1,SVC11,Unattended,Sunday,0,2025-04-13 01:42:39,2025-04-13 02:54:20,2025-04-13,2025-04-12 20:42:39,2025-04-12 21:54:20,"{""hostName"":""IT-POWERAUTO-11"",""parentWorkflowId"":""a133bddd-5833-41e9-9eeb-133a37c379a2"",""parentWorkflowRunId"":""08584570984850136389519931553CU175"",""attendedMode"":""Unattended"",""agentVersion"":""2.52.62.25009"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",a133bddd-5833-41e9-9eeb-133a37c379a2,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/a133bddd-5833-41e9-9eeb-133a37c379a2,Succeeded,71.68333333333334,0,2025,20,202516,16,0.0497800925925926,0.9502199074074074,1.1947222222222222,1,1.1947222222222222,0.0010159202569916,0.0010228786149162,0.9989771213850838,1.0,0.85,1.0,1.0,2025,15,202515
2025-04-13 01:42:30,Mohammad Asim,Succeeded,Unknown,Unknown,Scrape Data - Amazon_Cust_Delivery_Time_V1,SVC12,Unattended,Sunday,0,2025-04-13 01:42:39,2025-04-13 02:58:44,2025-04-13,2025-04-12 20:42:39,2025-04-12 21:58:44,"{""hostName"":""IT-POWERAUTO-12"",""parentWorkflowId"":""a133bddd-5833-41e9-9eeb-133a37c379a2"",""parentWorkflowRunId"":""08584570984850136389519931553CU175"",""attendedMode"":""Unattended"",""agentVersion"":""2.52.62.25009"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",a133bddd-5833-41e9-9eeb-133a37c379a2,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/a133bddd-5833-41e9-9eeb-133a37c379a2,Succeeded,76.08333333333333,0,2025,20,202516,16,0.0528356481481481,0.947164351851852,1.2680555555555555,1,1.2680555555555555,0.0010782785336356,0.0010856640030441,0.998914335996956,1.0,0.85,1.0,1.0,2025,15,202515
